bbl,address,ownername,property_manager,yearalter,numfloors,unitstotal,total_gross_floor_area,office_sqft,% Leased,LL33 grade,Latest_ENERGY_STAR_Score,Latest_Target_ENERGY_STAR_Score,Estimated_Target_ENERGY_STAR_Score,Class,LandlordContact,PropertyManagerContact,2024 Building OpEx/SF,Typical Floor Sq Ft,Number Of Elevators,GreenRating,neighborhood,latitude,longitude
1000400003,"60 Wall St, New York, NY 10005",Paramount Group,CBRE,2025,47.0,1,1625483,1374625.1,100.0,N (exempt),72,80.0,,A,Howard Fiddle (212) 984-6525 (p),,,,,,Financial District,40.7062255,-74.0083912
1000400014,"48 Wall St, New York, NY 10005",Swig Equities,CBRE,2000,32.0,27,313918,259055.0,94.9,C,67,,71.0,A,Bevan Cohen (212) 895-0945 (p),Xenia Nunez (212) 984-8000 (p),$6.78 ,9707.0,12.0,,Financial District-Battery Park City,40.7063011,-74.0091408
1000420031,"80 Maiden Lane, New York, NY 10038",Cannon Hill Capital Partners,CBRE,1986,25.0,1,527605,429598.1875,100.0,B,83,,73.0,B,Jonathan Cope (212) 618-7015 (p),,,,,,Financial District-Battery Park City,40.7072072,-74.0075755
1000430001,"44 Wall St, New York, NY 10005",EQ Office,George Comfort & Sons,2006,24.0,45,289049,289049.0,56.6,A,86,,76.0,B,Alexander Bermingham (212) 542-2189 (p),Jared Conlon (212) 481-1122 (p),$6.86 ,13600.0,15.0,,Financial District-Battery Park City,40.706638,-74.0096598
1000460001,"2 Wall St, New York, NY 10005",Fieldstone Capital,George Comfort & Sons,1986,21.0,17,173159,153090.0,98.8,N (exempt),57,98.0,,B,Alexander Bermingham (212) 542-2189 (p),Rachel Wooten Barley (212) 372-2000 (p),$11.57 ,8378.0,8.0,,Financial District,40.7077394,-74.0113063
1000460009,"14 Wall St, New York, NY 10005",Alexander Rovt,CBRE,2006,32.0,71,1087770,814801.0,59.3,D,42,,65.0,A,Bradley Gerla (212) 984-7153 (p),,,,,LEED Platinum,Financial District-Battery Park City,40.7076193,-74.0105948
1000480001,"140 Broadway, New York, NY 10005",Hines,Newmark,2020,50.0,78,1272119,1113972.0,84.2,B,79,69.0,,A,David Falk (212) 372-2271 (p),,,,,,Financial District-Battery Park City,40.709153,-74.0102749
1000490002,"111 Broadway, New York, NY 10006",Madison International Realty,Colliers,2004,22.0,100,450000,423593.0,86.8,B,79,,69.0,A,Aidan Campbell (212) 716-3825 (p),(212) 385-1200 (p),$13.36 ,18639.0,12.0,,Financial District-Battery Park City,40.7086765,-74.0115129
1000500001,"115 Broadway, New York, NY 10006",Capital Properties,Colliers,1989,21.0,53,400000,374003.0,79.6,B,80,,71.0,A,Aidan Campbell (212) 716-3825 (p),(212) 980-0090 (p),$6.10 ,18954.0,12.0,LEED Platinum,Financial District-Battery Park City,40.7088781,-74.0113265
1000510007,"76 Trinity Pl, New York, NY 10006",Trinity Church Wall Street,Trinity Church Wall Street,2017,27.0,1,281121,238952.85,100.0,N (exempt),45,,63.0,C,,,,,,,Midtown,40.7086576,-74.0125382
1000640012,"150 Broadway, New York, NY 10038",JEMB,JLL,1986,23.0,92,276000,272517.0,84.0,A,93,,83.0,B,Andrew Coe (212) 812-6554 (p),(212) 608-5100 (p),$12.68 ,8696.0,10.0,,Financial District-Battery Park City,40.7091863,-74.0101499
1000640015,"160 Broadway, New York, NY 10038",KF Braun,KF Braun,2018,16.0,75,150000,141000.0,82.1,A,87,,84.0,B,,,$5.66 ,4850.0,6.0,,Financial District-Battery Park City,40.7094093,-74.0100383
1000650007,"15 Maiden Lane, New York, NY 10038",Heller Properties,Heller Properties,2003,20.0,52,144200,123372.0,94.4,A,93,,89.0,B,Edny Medor (212) 964-3180 (p),Edny Medor (212) 964-3180 (p),$8.90 ,6246.0,1.0,,Financial District-Battery Park City,40.7095048,-74.0091306
1000660001,"19 Liberty St, New York, NY 10038",Fosun International,JLL,2016,14.0,1,640000,640000.0,100.0,N (exempt),32,14.0,,A,Michael Berman (212) 418-2680 (p),,,,,,Financial District,40.7091323,-74.0102531
1000670001,"59 Maiden Lane, New York, NY 10038",AmTrust Realty,AmTrust Realty,1988,44.0,57,1073000,1073000.0,97.4,B,70,,73.0,A,Anne Holker (646) 914-4404 (p),,,,,,Financial District-Battery Park City,40.7088713,-74.0079239
1000680011,"75 Maiden Lane, New York, NY 10038",AM Property Holding,Newmark,2015,12.0,1,155026,131772.1,100.0,B,80,,76.0,A,,,,,,,Financial District-Battery Park City,40.7076971,-74.0076924
1000750030,"111 John St, New York, NY 10038",KF Braun,KF Braun,2016,26.0,61,296076,251664.6,70.0,A,96,,89.0,B,,,$5.23 ,12000.0,11.0,,Financial District-Battery Park City,40.7072464,-74.0053308
1000770008,"110 William St, New York, NY 10038","Pacific Oak Capital Advisors, Invesco",Newmark,2011,31.0,46,788240,767504.0,100.0,N (exempt),78,85.0,,A,Hal Stein (212) 233-8185 (p),,,,,,Financial District-Battery Park City,40.7087931,-74.0068363
1000880001,"217 Broadway, New York, NY 10007",Columbus Properties,CBRE,1999,10.0,12,133198,93739.0,61.2,B,71,,81.0,B,Bruce Surry (212) 618-7044 (p),(212) 732-0916 (p),$13.71 ,14000.0,5.0,,Financial District,40.758,-73.9855
1000880010,"30 Vesey St, New York, NY 10007",Greystone,Sinvin,2018,18.0,26,71959,68163.0,80.9,B,71,,91.0,B,James Costello (646) 673-8752 (p),(212) 233-3666 (p),$6.27 ,3435.0,5.0,,Tribeca-Civic Center,40.7121365,-74.0098534
1000880018,"225 Broadway, New York, NY 10007",KF Braun,KF Braun,2015,45.0,100,480831,463700.0,69.1,A,92,,83.0,B,,,,,,,Tribeca-Civic Center,40.7121079,-74.0085596
1000920024,"116 Nassau St, New York, NY 10038",Columbia University,Endurance Real Estate Advisors,2016,12.0,10,109173,93818.0,29.5,A,93,,86.0,B,,,,,,,Financial District,40.758,-73.9855
1000940025,"100 Gold St, New York, NY 10038",City of New York,DCAS,2019,10.0,1,655775,594000.0,100.0,B,84,,78.0,A,,,,,,,Midtown,40.7102934,-74.0032025
1001190001,"1 Police Plaza, New York, NY 10038",City of New York,DCAS,2002,16.0,1,1000518,711424.0,100.0,D,37,,56.0,B,,,,,,,Midtown,40.7120619,-74.0023853
1001210001,"1 Centre St, New York, NY 10013",City of New York,DCAS,2004,39.0,1,1056600,1056600.0,100.0,N (exempt),96,,86.0,A,,,,,,,Midtown,40.758,-73.9855
1001220001,"52 Chambers St, New York, NY 10007",City of New York,DCAS,2012,2.0,1,144016,52000.0,100.0,N (exempt),1,,30.0,A,(212) 639-9675 (p),,,58873.0,0.0,,Midtown,40.7134071,-74.0055257
1001240004,"11 Park Pl, New York, NY 10128",Stahl Organization,Colliers,2004,18.0,64,205000,195200.0,79.8,C,67,,70.0,B,Michael Berger (212) 716-3643 (p),(212) 716-3500 (p),$9.64 ,10250.0,6.0,Energy Star,Midtown,40.6796509,-73.9777917
1001270018,"255 Greenwich St, New York, NY 10007",Jack Resnick & Sons,Jack Resnick & Sons,2003,13.0,1,507000,467500.0,100.0,N (exempt),45,,58.0,A,Adam S. Rappaport (646) 253-3111 arappaport@resnicknyc.com,,,,,,Tribeca-Civic Center,40.7143682,-74.0112886
1001480010,"71 Thomas St, New York, NY 10013",GFP Real Estate,Newmark,2016,7.0,3,100750,100750.0,100.0,B,86,,84.0,B,(212) 609-8000 (p),Thomas Lambe (212) 609-8000 (p),$14.03 ,16749.0,1.0,,Midtown,40.758,-73.9855
1001530001,"280 Broadway, New York, NY 10007",City of New York,Walker Malloy,2017,7.0,5,242062,168492.0,100.0,A,92,,88.0,A,Rafe Evans (917) 701-4059 (p),,$0.33 ,35000.0,7.0,,Tribeca-Civic Center,40.7145277,-74.0058103
1001530024,"23 Chambers St, New York, NY 10007",City of New York,DCAS,2016,8.5,46,229824,212500.0,100.0,N (exempt),93,,85.0,A,(212) 639-9675 (p),,,16685.0,1.0,,Midtown,40.7155463,-74.0089709
1001540023,"14 Reade St, New York, NY 10007",City of New York,DCAS,1961,7.0,6,71732,71732.0,100.0,A,86,,86.0,A,(646) 230-9360 (p),,,7685.0,1.0,,Midtown,40.7136259,-74.0038154
1001550001,"2 Lafayette St, New York, NY 10007",City of New York,DCAS,2017,21.0,1,354169,341769.0,100.0,B,80,,70.0,B,(212) 639-9675 (p),,,16865.0,1.0,,Midtown,40.7141052,-74.0038668
1001550003,"52 Duane St, New York, NY 10007",Benjamin Partners,CBRE,1985,10.0,3,103158,94058.0,73.3,A,85,,82.0,B,Jonathan Cope (212) 618-7015 (p),Rafael Ortiz (212) 334-8710 (p),$11.80 ,10315.0,6.0,,Tribeca-Civic Center,40.7142542,-74.0039787
1001680032,"75 Centre St, New York, NY 10013",City of New York,DCAS,2008,10.0,10,353000,353000.0,95.7,A,87,,76.0,A,,,,,,,Midtown,40.758,-73.9855
1001940042,"60 Walker St, New York, NY 10013",Vornado Realty Trust,Vornado Realty Trust,1989,26.0,171,230139,223139.0,91.1,B,84,85.0,,B,,,,,,,Midtown,40.7190002,-74.0029715
1001960005,"408 Broadway, New York, NY 10013",United American Land Company,Newmark,2008,6.0,13,56210,46210.0,27.1,N (exempt),34,,59.0,B,Albert Laboz (212) 431-7500 (p),(212) 431-7500 (p),$8.09 ,10158.0,2.0,,Tribeca-Civic Center,40.7188811,-74.0018562
1002210030,"200 Hudson St, New York, NY 10013",Hines,Tungsten Property,1982,12.0,23,328415,313192.0,97.1,A,73,75.0,,B,Frank Reiser (914) 714-0444 (p),(212) 230-2300 (p),$10.75 ,27443.0,11.0,,Tribeca,40.758,-73.9855
1002320001,"434 Broadway, New York, NY 10013",MC Real Estate Partners,Newmark,2017,9.0,6,52065,26349.0,100.0,B,64,,80.0,B,Matthew Augarten (212) 372-2388 (p),(212) 812-5700 (p),$16.42 ,5929.0,1.0,,Financial District,40.7199389,-74.001046
1004730001,"462 Broadway, New York, NY 10013",Vornado Realty Trust,Himmel + Meringoff,2018,6.0,9,141050,100900.0,86.4,B,86,,80.0,B,Adam Weissleder (212) 337-7763 (p),Maxwell Lemos (212) 645-7575 (p),$11.52 ,25000.0,4.0,,Financial District,40.7209296,-74.0004027
1004740030,"483 Broadway, New York, NY 10013",Vornado Realty Trust,Newmark,2019,5.0,5,57305,35057.0,100.0,C,69,90.0,,B,JD Cohen (212) 850-5476 (p),David Brown,$15.45 ,10400.0,3.0,,Financial District,40.7217241,-74.0003215
1004820016,"72 Spring St, New York, NY 10012",Heller Properties,Newmark,2016,12.0,15,130000,101587.0,91.2,A,85,,85.0,B,Nathan Kropp (212) 372-2056 (p),(212) 964-3180 (p),$19.03 ,9600.0,6.0,,SoHo-Little Italy-Hudson Square,40.758,-73.9855
1004860011,"84 Wooster St, New York, NY 10012",Stellar Management,Stellar Management,1982,7.0,25,65972,46552.0,61.9,A,89,,90.0,B,,,,,,,SoHo-Little Italy-Hudson Square,40.758,-73.9855
1004960036,"71 Spring St, New York, NY 10012",United American Land Company,Newmark,2024,6.0,1,56340,46740.0,100.0,C,68,,79.0,B,Howard Hersch (212) 655-0626 (p),Michael Rouzenrouch (212) 625-8146 (p),$12.97 ,12636.0,3.0,,SoHo-Little Italy-Hudson Square,40.7226723,-73.997475
1004960040,"75 Spring St, New York, NY 10012",Greystone,Sinvin,2023,9.0,10,54800,49200.0,100.0,A,99,,100.0,B,Anne Goldrach (212) 233-3666 (p),Anne Goldrach (212) 233-3666 (p),$22.38 ,5218.0,3.0,,SoHo-Little Italy-Hudson Square,40.758,-73.9855
1004970001,"530 Broadway, New York, NY 10012",Wharton Properties,Newmark,2023,11.0,35,169983,156619.0,95.3,A,90,,86.0,A,Howard Hersch (212) 655-0626 (p),(212) 344-0300 (p),$29.03 ,18000.0,3.0,,SoHo-Little Italy-Hudson Square,40.7231565,-73.9984829
1004980009,"557 Broadway, New York, NY 10012",Vornado Realty Trust,Cushman & Wakefield,1999,10.0,2,112500,108490.0,100.0,N (exempt),39,55.0,,A,Alex Lachmund (212) 841-7755 (p),Jeffrey Clark (212) 841-7500 (p),$17.44 ,19360.0,1.0,,Financial District,40.7241131,-73.998334
1004980011,"549 Broadway, New York, NY 10012",Vornado Realty Trust,Cast Iron,2024,12.0,6,243442,217958.0,83.5,N (exempt),77,75.0,,A,Beth Chase (212) 226-8576 (p),Chris Winnicki (212) 925-1831 (p),$36.95 ,10000.0,1.0,,Financial District,40.7237797,-73.998343
1004990007,"104 Greene St, New York, NY 10012",SL Green Realty,SL Green Realty,2015,13.0,112,201002,164380.0,97.8,N (exempt),92,89.0,,A,,,,,,,SoHo-Little Italy-Hudson Square,40.7244058,-73.9995923
1005000011,"120 Wooster St, New York, NY 10012",120 Wooster,Sinvin,1988,6.0,16,52526,43772.0,80.4,B,70,,85.0,B,Christopher Owles (212) 604-9002 (p),Renee Reinhold (212) 246-9600 (p),$15.65 ,10019.0,1.0,,SoHo-Little Italy-Hudson Square,40.7250679,-74.0001326
1005050036,"161 Ave Of The Americas, New York, NY 10013",Imperium,CBRE,2014,13.0,1,255000,522840.95,100.0,D,12,,33.0,A,Brett Shannon (212) 984-8188 (p),,,,,,SoHo-Little Italy-Hudson Square,40.7258344,-74.0041217
1005100001,"63 Prince St, New York, NY 10012",Bromley Companies,Boymelgreen,2009,15.0,1,178459,154913.0,100.0,A,99,,94.0,B,,,,,,,SoHo-Little Italy-Hudson Square,40.723875,-73.9966151
1005100038,"298 Lafayette St, New York, NY 10012",Kushner Companies,CBRE,2004,16.0,1,59757,48750.0,100.0,A,90,,94.0,A,Sacha Zarba (212) 984-8317 (p),(212) 527-7000 (p),$16.19 ,28847.0,6.0,,SoHo-Little Italy-Hudson Square,40.758,-73.9855
1005110001,"568 Broadway, New York, NY 10012",Aurora Capital Associates,Prince Building Management,2024,12.0,93,332256,227536.0,48.9,C,63,,69.0,A,Bonnie Shapiro (212) 219-0688 (p),Bonnie Shapiro (212) 219-0688 (p),$19.76 ,22638.0,8.0,,SoHo-Little Italy-Hudson Square,40.7243392,-73.9973799
1005110006,"580 Broadway, New York, NY 10012",A.R.I Investors,Newmark,2023,12.0,13,127597,117597.0,100.0,B,81,,72.0,A,Howard Hersch (212) 655-0626 (p),Peter Zanelli (212) 966-4970 (p),$24.77 ,23333.0,1.0,,SoHo-Little Italy-Hudson Square,40.726579,-73.9953126
1005110008,"584 Broadway, New York, NY 10012",Vornado Realty Trust,Olmstead Properties,2014,12.0,101,254822,74580.0,80.5,A,96,,88.0,A,Steven Marvin (212) 564-2141 (p),Tom Nikac (212) 564-6662 (p),$16.10 ,18900.0,6.0,,Financial District,40.7245682,-73.9970222
1005110012,"592 Broadway, New York, NY 10012",Vornado Realty Trust,ABS Partners,2014,12.0,96,231840,216817.0,92.1,A,90,,83.0,B,James Caseley (212) 400-6075 (p),Peter Murray (212) 307-0500 (p),$9.50 ,10890.0,6.0,,Financial District,40.7282896,-73.994182
1005120015,"591 Broadway, New York, NY 10012",GFP Real Estate,GFP Real Estate,2013,6.0,15,62536,47536.0,98.0,N (exempt),85,85.0,,B,Neith Stone (917) 854-5116 (p),Art D'Estrada (212) 609-8000 (p),$8.83 ,3735.0,3.0,,Financial District,40.7250314,-73.9974228
1005220001,"610 Broadway, New York, NY 10012",Macklowe Management,JLL,2016,6.0,1,122200,76500.0,100.0,D,46,45.0,,A,Barbara Winter (212) 812-5990 (p),(212) 265-5900 (p),$33.68 ,20367.0,1.0,,Financial District,40.758,-73.9855
1005230046,"625 Broadway, New York, NY 10012",Lincoln Property,Kaufman Organization,2013,12.0,13,78958,73120.0,100.0,D,32,,55.0,B,Jared Sternberg (212) 471-4352 (p),(212) 752-1041 (p),$9.55 ,8085.0,4.0,,Financial District,40.7260638,-73.9965086
1005300001,"670 Broadway, New York, NY 10012",Wings Group,Sinvin,2016,5.0,3,66905,32291.0,93.2,D,5,,49.0,B,Christopher Owles (212) 604-9002 (p),(212) 529-5688 (p),,6780.0,4.0,,Greenwich Village,40.7271709,-73.9948071
1005310020,"383 Lafayette St, New York, NY 10003",NYU,Del Realty,2015,4.0,4,67964,64347.0,100.0,A,90,90.0,,B,Ed Candler (212) 674-3332 (p),Ed Candler (212) 674-3913 (p),$15.17 ,7308.0,0.0,,Greenwich Village,40.758,-73.9855
1005320015,"661 Broadway, New York, NY 10012",Continental East,Cushman & Wakefield,2007,12.0,42,162693,130000.0,100.0,N (exempt),60,,74.0,B,John Peters (212) 841-7510 (p),Vincent Giffuni (212) 628-0560 (p),$11.11 ,14166.0,4.0,,Greenwich Village,40.7272078,-73.9954693
1005440008,"409 Lafayette St, New York, NY 10003",Himmel + Meringoff,JLL,1988,6.0,7,97020,82669.0,100.0,A,83,75.0,,B,Corey Zolcinski (212) 812-5707 (p),Willie Choi (212) 645-7575 (p),$9.04 ,14680.0,6.0,,Midtown,40.728305,-73.992174
1005450006,"708 Broadway, New York, NY 10003",NYU,Weitz,2018,10.0,1,127143,108071.55,100.0,N (exempt),45,,66.0,B,Gary Klein (212) 558-5500 (p),(212) 558-5500 (p),$12.06 ,14877.0,1.0,,Financial District,40.7287074,-73.9937524
1005450015,"726 Broadway, New York, NY 10003",NYU,NYU,2014,10.0,1,349011,286148.25,100.0,N (exempt),30,,56.0,B,David Soles (212) 998-1212 (p),,,35000.0,2.0,,Greenwich Village,40.7292863,-73.9933093
1005450053,"400 Lafayette St, New York, NY 10003",NYU,ABS Partners,2014,5.0,1,93048,79090.8,100.0,N (exempt),75,,75.0,B,James Caseley (212) 400-6075 (p),(212) 228-0100 (p),$16.45 ,13929.0,4.0,,Midtown,40.7282544,-73.9932413
1005460021,"19 W 4Th St, New York, NY 10012",NYU,Newmark,2007,8.0,1,100628,85533.8,100.0,N (exempt),60,,65.0,B,William Grover (212) 372-2188 (p),(212) 695-9500 (p),$14.08 ,14643.0,3.0,,Greenwich Village,40.7291036,-73.9951974
1005460026,"21 W 4th St, New York, NY 10012",NYU,Avison Young,2018,6.0,1,56684,48181.4,100.0,N (exempt),85,,85.0,B,John Ryan (212) 729-4971 (p),Carlos Telleria (212) 586-3900 (p),$14.91 ,19750.0,9.0,,Greenwich Village,40.7286298,-73.9948341
1005480009,"13 University Pl, New York, NY 10003",NYU,NYU,2000,6.0,4,55224,50185.0,100.0,N (exempt),30,,66.0,B,,,,,,,Greenwich Village,40.731271,-73.994719
1005540001,"770 Broadway, New York, NY 10001",Vornado Realty Trust,Vornado Realty Trust,2016,15.0,27,1089849,720000.0,100.0,B,76,,70.0,A,Edward Hogan (212) 894-7988 (p),,,,,,Greenwich Village,40.7302969,-73.9911654
1005590016,"124 E 14th St, New York, NY 10003",City of New York,JLL,2020,22.0,1,230591,196002.35,100.0,D,36,,61.0,A,Kristen Morgan (212) 812-6043 (p),,,12789.0,1.0,,East Village,40.758,-73.9855
1005630001,"83 University Pl, New York, NY 10003",CIM Group,JLL,2022,12.0,44,220000,203076.0,39.5,B,74,,76.0,B,Joseph Sipala (212) 812-6467 (p),,$18.92 ,6422.0,2.0,,Greenwich Village,40.733457,-73.9930257
1005630031,"817 Broadway, New York, NY 10003",Squire Investments,Newmark,2019,14.0,15,115000,107883.0,93.2,C,60,,71.0,A,Daniel Levine (212) 372-2319 (p),Lawrence Levine (212) 689-4124 (p),$12.71 ,9333.0,9.0,Energy Star,Greenwich Village,40.7331293,-73.9913302
1005630046,"57 E 11th St, New York, NY 10003",Winter Organization,JLL,2019,11.0,1,57585,52412.0,100.0,A,94,,93.0,B,,Eric Winter (212) 821-1600 (p),$16.34 ,5513.0,3.0,,Greenwich Village,40.7330854,-73.9924202
1005650015,"849 Broadway, New York, NY 10003",Feil Organization,Feil Organization,2004,21.0,180,272925,193627.0,94.1,N (exempt),51,,55.0,A,Robert Fisher (212) 563-6557 (p),Randy Seider (212) 563-6557 (p),$44.95 ,7687.0,5.0,,Greenwich Village,40.7343955,-73.99109
1005760046,"60 5 Ave, New York, NY 10011",NYU,NYU,2015,8.0,1,121054,96475.0,100.0,N (exempt),30,,56.0,B,,,,,,,Greenwich Village,40.735016,-73.994802
1005770034,"8 W 14th St, New York, NY 10011",Soloviev Group,Douglas Elliman,2001,6.0,6,120025,110000.0,90.0,A,99,,86.0,A,Louis Puopolo (212) 776-4367 (p),Michael McMahon (212) 709-0700 (p),$28.34 ,4357.0,2.0,,Greenwich Village,40.7359107,-73.9945613
1005780047,"250 Hudson St, New York, NY 10013",Jack Resnick & Sons,Jack Resnick & Sons,2011,14.0,20,332960,323600.0,65.8,A,91,,81.0,A,Adam Rappaport (646) 253-3111 (p),(212) 929-0624 (p),$15.48 ,22708.0,10.0,,SoHo-Little Italy-Hudson Square,40.7249946,-74.0072895
